"county_fips_code","county_name","date","confirmed_cases","deaths","total_pop","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","first_confirmed_case_date","population_density","case_fatality_rate","infection_rate","mortality_rate","avg_activity_change_7_days","new_deaths","new_confirmed_cases"
"06027","Inyo County",2020-08-11,122,5,18195,2,NA,61,NA,-30,NA,2020-03-22,0.367403318358212,4.0983606557377,0.00670513877438857,0.000274800769442154,0,139,7067
"06027","Inyo County",2020-08-12,122,6,18195,5,NA,63,NA,-30,NA,2020-03-22,0.367403318358212,4.91803278688525,0.00670513877438857,0.000329760923330585,0,155,6199
"06027","Inyo County",2020-08-13,127,6,18195,15,NA,NA,NA,-28,NA,2020-03-22,0.367403318358212,4.7244094488189,0.00697993954383072,0.000329760923330585,0,110,5945
"06027","Inyo County",2020-08-14,144,6,18195,4,NA,85,NA,-32,NA,2020-03-22,0.367403318358212,4.16666666666667,0.00791426215993405,0.000329760923330585,0,120,5200
"06027","Inyo County",2020-08-15,148,6,18195,10,NA,56,NA,-22,NA,2020-03-22,0.367403318358212,4.05405405405405,0.00813410277548777,0.000329760923330585,0,122,5213
"06027","Inyo County",2020-08-16,150,8,18195,15,NA,79,NA,-17,NA,2020-03-22,0.367403318358212,5.33333333333333,0.00824402308326463,0.000439681231107447,0,128,3649
"06027","Inyo County",2020-08-17,150,9,18195,NA,NA,NA,NA,NA,NA,2020-03-22,0.367403318358212,6,0.00824402308326463,0.000494641384995878,0,132,2678
"06027","Inyo County",2020-08-18,157,9,18195,NA,NA,NA,NA,NA,NA,2020-03-22,0.367403318358212,5.73248407643312,0.00862874416048365,0.000494641384995878,0,117,5759
"06027","Inyo County",2020-08-19,165,10,18195,NA,NA,NA,NA,NA,NA,2020-03-22,0.367403318358212,6.06060606060606,0.0090684253915911,0.000549601538884309,0,121,5249
"06027","Inyo County",2020-08-20,166,10,18195,NA,NA,NA,NA,NA,NA,2020-03-22,0.367403318358212,6.02409638554217,0.00912338554547953,0.000549601538884309,0,134,4675
"06027","Inyo County",2020-08-21,168,10,18195,NA,NA,NA,NA,NA,NA,2020-03-22,0.367403318358212,5.95238095238095,0.00923330585325639,0.000549601538884309,0,108,4681
"06027","Inyo County",2020-08-22,169,10,18195,NA,NA,NA,NA,NA,NA,2020-03-22,0.367403318358212,5.91715976331361,0.00928826600714482,0.000549601538884309,0,119,4407
"06027","Inyo County",2020-08-23,169,10,18195,NA,NA,NA,NA,NA,NA,2020-03-22,0.367403318358212,5.91715976331361,0.00928826600714482,0.000549601538884309,0,121,3116
"06027","Inyo County",2020-08-24,169,11,18195,NA,NA,NA,NA,NA,NA,2020-03-22,0.367403318358212,6.50887573964497,0.00928826600714482,0.00060456169277274,0,107,2559
"06027","Inyo County",2020-08-25,172,12,18195,NA,NA,NA,NA,NA,NA,2020-03-22,0.367403318358212,6.97674418604651,0.00945314646881011,0.000659521846661171,0,107,5444
